"SITE","STONE","DISC_CIRC","DISC_WHEN","DISC_WHO","SUBSQ_HIST","CURRENT_SEtting","CURRENT_LOcation","LOC_NOTES","MON_FORM","FORM_NOTES","COMPLETENEss","PRESERVATIon","PRESCONDNOtes","M_SOURCE","M_HEIGHT","M_HT_STATUs","M_WIDTH","M_WDTH_STAtus","M_THICKNESs","M_THCK_STAtus","I_SOURCE","I_HT_FEET","I_HT_INCHEs","I_HT_STATUs","I_WD_FEET","I_WD_INCHEs","I_WDTH_STAtus","I_TH_FEET","I_TH_INCHEs","I_THCK_STAtus","STONE_TYPE","NO_CARVED","DECOR_NOTEs","VISITED"
GARES,1,recognised,1852,"farmer Crowley",,"in ground",museum,,pilsp,,complete,some,,converted,1.75,actual,0.48,actual,0.18,actual,Macalister/1945,5,9,actual,1,7,actual,0,7,actual,,0,,
GEARS,1,"first mentioned",1954,"M. O'Kelly, O. Kavan",,inc,museum,,slbot,,inc,good,,OSullivan/etal/1996,1.45,actual,0.3,actual,0.12,actual,converted,4,9,actual,0,11.75,actual,0,4.75,actual,,0,,
GIGHA,1,"first mentioned",1695,Martin,,"in ground","on site",,pilsp,,complete,poor,,Forsyth/1996,1.7,actual,0.25,actual,0.31,actual,converted,5,7,actual,0,9.75,actual,1,0.25,actual,,0,,
GIGHA,2,recognised,1988,"K. Douglas",,"in ground",earliest,,ind,,frgmntry,poor,,Forsyth/1988,0.76,actual,0.25,actual,,inc,converted,2,6,actual,0,9.75,actual,,,inc,,0,,
GLEBE,1,"first mentioned",1879,"R.R. Brash",,"in ground",earliest,,pilsp,,complete,some,,converted,1.09,visible,0.2,actual,0.18,actual,"Macalister/1945, 129",3,7,visible,0,8,actual,0,7,actual,,0,,
GLEBE,2,"first mentioned",1879,"R.R. Brash",,"in ground",earliest,,pillp,,complete,some,,converted,0.98,visible,0.38,actual,0.09,actual,Macalister/1945,3,2.5,visible,1,3,actual,0,3.5,actual,,0,,
GLEBE,3,"first mentioned",1879,"R.R. Brash",,"in ground",earliest,,pillp,,complete,good,,converted,1.07,visible,0.38,actual,0.15,actual,Macalister/1945,3,6,visible,1,3,actual,0,6,actual,,0,,
GLEND,1,"first mentioned",1804,Ledwich,,lost,lost,,slbcr,,incomplete,n/a,,converted,,n/a,,n/a,,n/a,Macalister/1949,,,n/a,,,n/a,,,n/a,,1,,
GLEND,2,"in/on structure",1949,"R.A.S. Macalister",,unattch,"on site",,slbcr,,complete,good,,converted,1.63,actual,0.67,actual,0.1,actual,Macalister/1949,5,4,actual,2,2.5,actual,0,4,actual,,1,,
GLEND,3,"first mentioned",1878,"G. Petrie",,lost,lost,,slbns,,frgmntry,n/a,,converted,,n/a,0.71,actual,,n/a,Macalister/1949,0,,n/a,2,4,actual,0,,n/a,,0,,
GLEND,4,"first mentioned",1878,"G. Petrie",,lost,lost,,slbns,,frgmntry,inc,,converted,,n/a,,n/a,,n/a,Macalister/1949,,,n/a,,,n/a,,,n/a,,1,,
GLEND,5,"first mentioned",1830,"G. Petrie",,"in display","on site",,slbcr,,incomplete,some,,converted,2.18,actual,1.04,actual,0.05,actual,Macalister/1949,7,2,actual,3,5,actual,0,2,actual,,1,,
GLEND,6,"first mentioned",1878,"Col. B. Conyngham",,lost,lost,,ind,,frgmntry,n/a,,converted,,n/a,,n/a,,n/a,Macalister/1949,,,n/a,,,n/a,,,n/a,,0,,
GLEND,7,"first mentioned",1911,Anon,,unattch,"on site",,slbcr,,complete,some,,converted,1.56,actual,0.71,actual,,n/a,Macalister/1949,5,1.5,actual,2,4,actual,,,n/a,,1,,
GLEND,8,"first mentioned",1912,Anon,,"on ground",earliest,,slbcr,,frgmntry,some,,converted,1.63,actual,,actual,,n/a,Macalister/1949,5,4,actual,2,,actual,,,n/a,,1,,
GLEND,9,"first mentioned",1804,Ledwich,,"on ground","on site",,slbcr,,incomplete,some,,converted,1.75,actual,1.57,actual,,n/a,Macalister/1949,5,9,actual,5,2,actual,0,,n/a,,1,,
GLEND,10,"first mentioned",1804,Ledwich,,inc,inc,,fragy,,frgmntry,poor,,converted,1.32,actual,0.66,actual,,n/a,Macalister/1949,4,4,actual,2,2,actual,0,,n/a,,1,,
GLEND,11,"first mentioned",1804,Ledwich,,"on ground",other,,slbcr,,inc,poor,,converted,1.6,actual,0.64,actual,,n/a,Macalister/1949,5,3,actual,2,1,actual,0,,n/a,,1,,
GLEND,12,"first mentioned",1943,"S. Ferguson",,"in ground","on site",,slbcr,,incomplete,poor,,converted,1.07,actual,0.86,actual,,n/a,Macalister/1949,3,6,actual,2,10,actual,,,n/a,,1,,
GLEND,13,"first mentioned",1804,Ledwich,,lost,lost,,slbns,,inc,inc,,converted,,,,,,,Macalister/1949,,,,,,,,,,,0,,
GLEWI,1,"arch excav",1844,"Cotter & Hackett",,"in display",museum,,pillp,,complete,good,,converted,2.18,actual,0.56,actual,0.15,actual,Macalister/1945,7,2,actual,1,10,actual,0,6,actual,,0,,
GLEWI,2,"arch excav",1844,"Cotter & Hackett",,"in ground",other,,pilsp,,complete,good,,converted,1.93,visible,0.51,actual,,actual,Macalister/1945,6,4,visible,1,8,actual,1,,actual,,0,,
GLHAN,1,"in/on structure",1893,"Deane, Sir Thomas",,"in display",museum,,pillc,,complete,some,,Cuppage/etal/1986,1.39,visible,0.63,actual,0.13,actual,Macalister/1945,4,5,visible,1,9,actual,0,5,actual,,4,,
GLINS,1,"first mentioned",1838,"J. Windele",,lost,lost,,ind,,n/a,n/a,,Cuppage/etal/1986,,ind,,ind,,ind,converted,,,ind,,,ind,,,ind,,0,,
GLLOG,1,"in/on structure",1849,"Crocker and Abell",,"in display",museum,,pillp,,complete,some,,converted,1.85,visible,0.27,actual,0.09,actual,Macalister/1945,6,1,visible,0,10.5,actual,0,3.5,actual,,0,,
GLLRS,1,"first mentioned",1890,inc,,"in ground","on site",,pilsc,,complete,good,,Cuppage/etal/289,1.1,visible,0.3,actual,0,inc,Macalister/1945,4,2,visible,1,0,actual,0,3,actual,,1,,TRUE
GLNMO,1,"in/on structure",1945,"O'Sullivan, Mr. P. J",,"on ground","on site",,pilsp,,inc,good,,Cuppage/etal/1986,1.26,actual,0.39,actual,0.13,actual,Macalister/1945,4,0,visible,1,2,visible,0,6,visible,,0,,
GLOON,1,"first mentioned",1934,"Lowry-Corry, Lady D.",,"in ground","on site",,fcsA,,inc,poor,,converted,0,inc,0,inc,0,inc,Macalister/1949,0,0,inc,0,0,inc,0,0,inc,,i,,
GLOON,2,"first mentioned",1934,"Lowry-Corry, Lady D.",,"in ground","on site",,fcsA,,inc,poor,,converted,0,inc,0,inc,0,inc,Macalister/1949,0,0,inc,0,0,inc,0,0,inc,,i,,
GLSHS,1,"first mentioned",1983,"Power et al.",,"in ground",earliest,,ind,,n/a,n/a,,n/a,,ind,,ind,,ind,converted,,,ind,,,ind,,,ind,,0,,
GOLPI,1,"first mentioned",1630,"Sir R. Gordon",,unattch,museum,,slbcr,,complete,some,,Forsyth/1996,1.83,actual,0.82,actual,0.17,actual,converted,6,0,actual,2,8.25,actual,0,6.75,actual,,4,,
GORGH,1,"in/on structure",1853,Hitchcock,,"in display",museum,,pillc,,complete,some,,Cuppage/etal/1986,0.9,actual,0.27,visible,0.1,visible,converted,2,11.5,actual,0,10.75,visible,0,4,visible,,2,,
GOUR,1,"first mentioned",1907,"Macalister, R. A. S.",,"in ground",earliest,,pillp,,complete,some,,Power/etal/1992,2.1,visible,0.65,actual,0.15,actual,Macalister/1945,7,0,visible,2,3,actual,0,7,actual,,0,,
GOWRN,1,"first mentioned",1849," G.V. du Noyer",,"on ground","on site",,pilsp,,incomplete,good,,converted,1.5,actual,0.38,actual,0.3,actual,Macalister/1945,4,11,actual,1,3,actual,0,11.75,actual,,1,,
GRANG,1,"first mentioned",1883,"Atkinson, G. M.",,"in ground","on site",,pilsc,,incomplete,some,,converted,1.07,visible,0.38,actual,0.2,actual,Macalister/1945,3,6,visible,1,3,actual,0,8,actual,,1,,
GRENL,1,"first mentioned",1879,"R.R. Brash",,"in ground",earliest,,pilsp,,complete,some,,Power/etal/1997,2.5,visible,0.6,actual,0.3,actual,Macalister/1945,8,1,visible,1,10,actual,1,0,actual,,0,,
GRENL,2,"non-arch dig",1906,landowner,,"in ground",earliest,,pilsp,,frgmntry,poor,,inc,,inc,,inc,,inc,n/a,,,inc,,,inc,,,inc,,0,,
GRISL,1,inc,1925,"Mason, Mr. S.",,"in display",museum,,pilsp,,complete,some,,converted,0.84,actual,0.23,actual,0.22,actual,Macalister/1945,2,9,actual,0,9,actual,0,8.5,actual,,0,,
GRMGH,1,"first mentioned",1892,inc,,"in struct",other,,inc,,inc,inc,,converted,,n/a,,n/a,,inc,Macalister/1945,,,n/a,,,n/a,,,inc,,0,,
GRTMA,1,"first mentioned",-1,"J. Windele",,"in ground",other,,pilsp,,complete,good,,converted,1.22,visible,0.22,actual,0.28,actual,Macalister/1945,4,0,visible,0,8.5,actual,0,11,actual,,0,,
GULV1,1,"first mentioned",1700,"E. Lhwyd",,"in ground",other,,pilsp,,complete,good,,Okasha/1993,1.5,visible,0.56,actual,0.32,actual,Macalister/1945,4,11,uncertain,1,9.5,actual,0,10,actual,,1,,
GULV2,1,"in/on structure",1885,"Rev W. W. Wingfield",,"in ground","on site",,fcsA,,frgmntry,poor,,Okasha/1993,1.35,visible,0.47,actual,0.31,actual,Macalister/1945,4,5,visible,1,5.5,actual,1,0.5,actual,,4,,
GURAN,1,"first mentioned",1894,"Lynch, P. J.",,"in display",museum,,pilsp,,complete,good,,converted,1.19,actual,0.32,actual,0.41,actual,Macalister/1945,3,11,actual,1,0.5,actual,1,4,actual,,0,,
GURNS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAREI,1,"first mentioned",1822,"G. Petrie",,lost,lost,,slbcr,,n/a,n/a,,converted,,n/a,,n/a,,n/a,Macalister/1949,,,n/a,,,n/a,,,n/a,,1,,
HAYLE,1,"non-arch dig",1843,workmen,,"in struct",other,,pilsp,,incomplete,poor,,Okasha/1993,1.32,visible,3.31,actual,0.01,visible,Edmonds/1858,6,,uncertain,1,,uncertain,,8,uncertain,,1,,
HENEG,1,"in/on structure",1845,inc,,"in struct",earliest,,pillp,,incomplete,some,,converted,0.57,visible,0.32,visible,,visible,Nash-Williams/1950,1,10.25,visible,1,0.75,visible,,,visible,,0,,
HENFN,1,"in/on structure",1880,"Barwell, Rev. E. L.",,"in struct",earliest,,fragy,,incomplete,some,,converted,0.36,actual,0.15,actual,0.01,ind,Macalister/1949,1,2,actual,0,6,actual,-1,-0.01,ind,,0,,
HENLL,1,"first mentioned",1700,"Edward Lhuyd",,"in ground","on site",,pilsp,,complete,good,,converted,1.6,visible,0.53,actual,0.33,actual,Macalister/1945,5,3,visible,1,9,actual,1,1,actual,,0,,
HIRWN,1,"first mentioned",1827,ind,,lost,lost,,ind,,n/a,n/a,,ind,-0.01,ind,-0.01,ind,-0.01,ind,ind,0,-0.01,ind,0,-0.01,ind,0,-0.01,ind,,0,,
HLAND,1,"first mentioned",1845,"H. Nevin",,unattch,museum,,pilsp,,frgmntry,some,,converted,1.18,actual,,actual,,actual,Macalister/1945,3,10.5,actual,1,,actual,,8,actual,,0,,
HTOWN,1,"first mentioned",1875,inc,,lost,lost,,ind,,frgmntry,inc,,Brindley/Kilfeather/1993,,n/a,,n/a,,n/a,converted,,,n/a,,,n/a,,,n/a,,0,,
ICLTA,1,"first mentioned",1837,"W.F. Wakeman",,"on ground",earliest,,fcbas,,complete,good,,converted,0.23,visible,1.27,actual,0.86,actual,Macalister/1916,0,9,visible,4,2,actual,2,10,actual,,1,,TRUE
ICLTA,2,"first mentioned",1878,"G. Petrie",,"in display","on site",,fccIND,,complete,poor,,converted,1.56,actual,0.94,actual,0.08,actual,Macalister/1949,5,1.5,actual,3,1,actual,0,3,actual,,1,,TRUE
ICLTA,3,"first mentioned",1879,"Board of Works",,"in display","on site",,slbbd,,complete,good,,converted,0.97,actual,0.48,actual,0.08,actual,Macalister/1949,3,2,actual,1,7,actual,0,3,actual,,1,,TRUE
ICLTA,4,"first mentioned",1879,"Board of Works",,"in ground",earliest,,slbbd,,complete,good,,converted,1.61,actual,0.56,actual,,inc,Macalister/1949,5,3.5,actual,1,10,actual,,,inc,,1,,TRUE
ICLTA,5,"first mentioned",1879,"Board of Works",,"in ground",earliest,,slbbd,,incomplete,some,,converted,1.45,actual,0.69,actual,,inc,Macalister/1949,4,9,actual,2,3,actual,,,inc,,0,,TRUE
ICLTA,6,"first mentioned",1879,"Board of Works",,"in ground",earliest,,slbbd,,complete,some,,converted,1.93,actual,0.69,actual,,inc,Macalister/1949,6,4,actual,2,3,actual,,,inc,,1,,TRUE
ICLTA,7,"first mentioned",1879,"Board of Works",,"in ground",earliest,,slbbd,,incomplete,good,,converted,1.55,actual,0.46,actual,0,inc,Macalister/1949,5,1,actual,1,6,actual,0,0,inc,,1,,TRUE
ICLTA,8,"first mentioned",1878,"G. Petrie",,"in ground",earliest,,slbbd,,complete,good,,converted,1.19,actual,0.42,actual,0.16,actual,Macalister/1949,3,11,actual,1,4.5,actual,0,6.25,actual,,1,,TRUE
ICLTA,9,"first mentioned",1879,"Board of Works",,"in ground",earliest,,slbbd,,incomplete,good,,converted,1.45,actual,0.61,actual,0,inc,Macalister/1949,4,9,actual,2,0,actual,0,0,inc,,1,,TRUE
ICLTA,10,"first mentioned",1879,"Board of Works",,"in ground",earliest,,slbbd,,complete,some,,converted,1.45,actual,0.41,actual,0,inc,Macalister/1949,4,9,actual,1,4,actual,0,0,inc,,1,,TRUE
ICLTA,11,"first mentioned",1879,"Board of Works",,"in ground",earliest,,slbbd,,incomplete,some,,converted,1.37,actual,0.58,actual,0,inc,Macalister/1949,4,6,actual,1,11,actual,0,0,inc,,1,,TRUE
ICLTA,12,"first mentioned",1879,"Board of Works",,"in ground",earliest,,slbbd,,complete,good,,converted,1.28,actual,0.51,actual,0,inc,Macalister/1949,4,2.5,actual,1,8,actual,0,0,inc,,1,,TRUE
ICLTA,13,"first mentioned",1837,"Wakeman, W. F.",,"in display","on site",,slbbd,,complete,good,,converted,1.49,actual,0.6,actual,0.08,actual,Macalister/1949,4,10.5,actual,1,11.5,actual,0,3,actual,,1,,TRUE
ICLTA,14,"first mentioned",1837,"Wakeman, W. F.",,"in display","on site",,slbbd,,complete,good,,converted,0.89,actual,0.38,actual,0.07,actual,Macalister/1949,2,11,actual,1,3,actual,0,2.75,actual,,1,,TRUE
ICLTA,15,"first mentioned",1879,"Board of Works",,"in ground",earliest,,slbbd,,complete,good,,converted,1.57,actual,0.56,actual,0,actual,Macalister/1949,5,2,actual,1,10,actual,0,0,actual,,1,,TRUE
ICLTA,16,"first mentioned",1879,"Board of Works",,"in ground",earliest,,slbbd,,complete,good,,converted,1.12,actual,0.43,actual,0,inc,Macalister/1949,3,8,actual,1,5,actual,0,0,inc,,1,,TRUE
ICLTA,17,"first mentioned",1842,"Wakeman,  W. F.",,lost,lost,,slbbd,,incomplete,some,,n/a,0,ind,0,ind,0,ind,n/a,0,0,ind,0,0,ind,0,0,ind,,1,,FALSE
ICLTA,18,"first mentioned",1879,"Board of Works",,"in ground",earliest,,slbbd,,complete,some,,converted,1.78,actual,0.46,actual,0,inc,Macalister/1949,5,10,actual,1,6,actual,0,0,inc,,1,,TRUE
ICLTA,19,"first mentioned",1878,"Petrie, G.",,lost,lost,,slbns,,n/a,n/a,,n/a,,ind,,ind,,ind,n/a,,,ind,,,ind,,,ind,,1,,
IMRRY,1,"first mentioned",1885,"W. F. Wakeman",,"in ground",earliest,,slbcr,,frgmntry,n/a,,converted,0.22,actual,0.17,actual,,n/a,Macalister/1949,0,8.75,actual,0,6.5,actual,,,n/a,,1,,
IMRRY,2,"first mentioned",1885,"W. F. Wakeman",,"in ground",earliest,,ind,,frgmntry,inc,,converted,0.2,actual,0.15,actual,,n/a,Macalister/1949,0,7.75,actual,0,6,actual,0,,n/a,,1,,
IMRRY,3,"first mentioned",1885,"W. F. Wakeman",,inc,inc,,slbcr,,incomplete,some,,converted,,n/a,,n/a,,n/a,Macalister/1949,,,n/a,,,n/a,,,n/a,,1,,
IMRRY,4,"first mentioned",1885,"W. F. Wakeman",,unattch,earliest,,slbcr,,inc,inc,,converted,,n/a,,n/a,,n/a,Macalister/1949,,,n/a,,,n/a,,,n/a,,1,,
IMRRY,5,"first mentioned",1885,"W. F. Wakeman",,unattch,earliest,,slbcr,,inc,inc,,converted,,n/a,,n/a,,n/a,Macalister/1949,,,n/a,,,n/a,,,n/a,,1,,
IMRRY,6,"first mentioned",1885,"W. F. Wakeman",,unattch,earliest,,slbns,,inc,inc,,converted,0.41,actual,0.2,actual,,n/a,Macalister/1949,1,4,actual,0,8,actual,,,n/a,,0,,
IMRRY,7,"first mentioned",1885,"W. F. Wakeman",,"in ground",earliest,,slbns,,inc,inc,,converted,,n/a,,n/a,,inc,Macalister/1949,,,n/a,,,n/a,,,inc,,0,,
IMRRY,8,"non-arch dig",1885,"W. F. Wakeman",,inc,"on site",,pilsp,,frgmntry,inc,,converted,0.83,actual,0.25,actual,0.1,actual,Macalister/1949,2,8.5,actual,0,10,actual,0,4,actual,,0,,
INAGH,1,"first mentioned",1945,"O'Donoghue, Mr.",,"on ground","on site",,pillp,,complete,good,,converted,2.74,actual,0.89,actual,0.38,actual,Macalister/1945,9,0,actual,2,11,actual,1,3,actual,,0,,
INBOF,1,"first mentioned",1917,"H. S. Crawford",,inc,inc,,slbcr,,frgmntry,poor,,converted,1.07,uncertain,0.64,uncertain,,n/a,Macalister/1949,3,6,uncertain,2,1,uncertain,0,,n/a,,1,,
INBOF,2,"first mentioned",1917,"H. S. Crawford",,"in ground",earliest,,slbcr,,inc,inc,,converted,0.53,actual,0.36,actual,,n/a,Macalister/1949,1,9,actual,1,2,actual,0,,n/a,,1,,
INBOF,3,"first mentioned",1917,"H. S. Crawford",,inc,inc,,fragy,,frgmntry,inc,,converted,0.28,actual,0.01,actual,,n/a,Macalister/1949,0,11,actual,0,0.5,actual,0,,n/a,,0,,
INCHA,1,"first mentioned",1839,"G. Petrie",,"in ground",earliest,,pilsc,,incomplete,some,,converted,0.71,visible,0.25,actual,0.15,actual,Macalister/1945,2,4,visible,0,10,actual,0,6,actual,,4,,
INCHY,1,recognised,1945,"H. de Pass",,"in display",museum,,slbns,,incomplete,some,,Forsyth/1996,1.6,actual,0.31,actual,0.43,actual,converted,5,3,actual,1,0.25,actual,1,5,actual,,2,,
INCLO,1,"first mentioned",1900,"F. J. Bigger",,inc,inc,,slbcr,,complete,inc,,converted,0.67,actual,0.53,actual,,,Macalister/1949,2,2.5,actual,1,9,actual,0,,,,1,,
INDQS,1,"first mentioned",1754,"W. Borlase",,"in ground",other,,pilsp,,complete,some,,Okasha/1993,1.65,visible,0.5,actual,0.33,actual,Macalister/1945,5,8,visible,1,7,actual,,8,actual,,0,,
INDRE,1,"non-arch dig",1859,"M. Hermann",,"in display",museum,,pillc,,incomplete,some,,Costa/1964,1.81,actual,0.66,actual,0,uncertain,converted,5,11.25,actual,2,2,actual,0,0,uncertain,,1,,
INVIC,1,recognised,1878,"J. Windele",,"in display",museum,,pilsp,,complete,good,,Cupage/etal/1986,1.05,actual,0.15,actual,0.18,actual,converted,3,5.25,actual,0,6,actual,0,7,actual,,4,,
INVIC,2,"first mentioned",1903,"R.A.S. Macalister",,lost,lost,,slbns,,n/a,n/a,,converted,,n/a,,n/a,,n/a,Macalister/1949,,,n/a,,,n/a,,,n/a,,0,,
ISLAN,1,"first mentioned",1898,Rhys,,"in ground",inc,,pilsp," ÿ¿¿¿¿¿ÿ¿¿¿¿¿5ÿ¿¿¿¿¿U",complete,good,,converted,1.6,visible,0.56,actual,0.56,actual,Macalister/1945,5,3,visible,1,10,actual,1,10,actual,,0,,
ITNNG,1,"first mentioned",1986,"J. Cuppage",,"in display","on site",,slbcr,,incomplete,poor,,Cuppage/etal/1986,,n/a,,n/a,,n/a,converted,,,n/a,,,n/a,,,n/a,,0,,
JRDNS,1,recognised,1896,"Evans, Mr.",,"in struct",other,,pilsp,,complete,good,,converted,1.45,visible,0.58,actual,0.25,actual,Macalister/1945,4,9,visible,1,11,actual,0,9.75,actual,,0,,
KBRCN,1,"first mentioned",1878,"G. Petrie",,"in display",earliest,,slbbd,,incomplete,some,,Higgins/1987,1.12,actual,0.7,actual,0.14,actual,converted,3,8,actual,2,3.5,actual,0,5.5,actual,,1,,
KBRCN,2,"first mentioned",1878,"G. Petrie",,lost,lost,,inc,,inc,inc,,Petrie/1878,1.93,uncertain,0.85,uncertain,,uncertain,converted,6,4,uncertain,2,9.5,uncertain,,,uncertain,,1,,
KBRCN,3,"first mentioned",1875,Ferguson,,"in ground",earliest,,slbcr,,complete,good,,converted,0.81,visible,0.33,visible,0.08,visible,Macalister/1949,2,8,visible,1,1,visible,0,3.25,visible,,1,,
KBRCN,4,"first mentioned",1878,"G. Petrie",,"in struct",other,,slbns,,inc,inc,,Higgins/1987,1.18,actual,0.14,actual,0,n/a,converted,3,10.5,actual,0,5.5,actual,0,0,n/a,,0,,
KBRCN,5,"first mentioned",18,"G. Petrie",,"in ground",earliest,,pilsp,,inc,good,,converted,1.42,actual,0.51,actual,0.13,actual,Macalister/1949,4,8,actual,1,8,actual,0,5,actual,,1,,
KBRCN,6,"first mentioned",1878,"G. Petrie",,lost,museum,,fragy,,frgmntry,inc,,Higgins/1987,0.48,actual,0.33,actual,0.65,actual,converted,1,7,actual,1,1,actual,2,1.5,actual,,1,,
KBRCN,7,"first mentioned",1878,"G. Petrie",,inc,inc,,slbcr,,frgmntry,poor,,Higgins/1987,1.4,actual,0.56,actual,0.12,actual,converted,4,7,actual,1,10,actual,0,4.75,actual,,1,,
KBRCN,8,"first mentioned",1878,"G. Petrie",,"in ground",earliest,,slbcr,,complete,good,,Higgins/1987,0.82,actual,0.32,actual,0.12,actual,converted,2,8.25,actual,1,0.5,actual,0,4.75,actual,,1,,
KCMMN,1,"first mentioned",1802,"J. Little",,inc,"on site",,slbcr,,inc,inc,,converted,1.22,uncertain,1.83,uncertain,0,inc,Petrie/1878,4,0,uncertain,6,0,uncertain,0,0,inc,,1,,
KDEAS,1,"first mentioned",1935,"Lowry-Corry, Lady D.",,inc,"on site",,slbbd,,complete,some,,converted,1.57,actual,0.91,actual,0.11,actual,Macalister/1949,5,2,actual,3,0,actual,0,4.5,actual,,2,,
KDEAS,2,"first mentioned",1935,"Lowry-Corry, Lady D.",,inc,"on site",,slbot,,incomplete,some,,converted,1.05,actual,0.39,actual,0.23,actual,Macalister/1949,3,5.5,actual,1,3.5,actual,0,9,actual,,2,,
KEELW,1,"first mentioned",1960,"B. Raftery",,inc,earliest,,pilsp,,inc,inc,,Ratfery/1960,80.5,actual,36,actual,9,actual,converted,264,1.25,actual,118,1.25,actual,29,6.25,actual,,0,,
KEENH,1,recognised,1906,"R.A.S. Macalister",,"in ground",earliest,,pilsp,,complete,some,,converted,2.31,actual,0.43,actual,0.33,actual,Macalister/1945,7,7,actual,1,5,actual,1,1,actual,,0,,
KELLS,1,"first mentioned",1934,"R.A.S. Macalister",,"on ground","on site",,slbcr,,incomplete,poor,,converted,1.4,actual,0.53,actual,0.18,actual,Macalister/1949,4,7,actual,1,9,actual,0,7,actual,,1,,
KELLS,2,recognised,1934,"R.A.S. Macalister",,"on ground","on site",,fcsA,,incomplete,poor,,Harbison/1992,2.61,actual,0.77,actual,0.46,actual,Macalister/1949,4,7,actual,1,9,actual,0,7,actual,,4,,
KENFG,1,"first mentioned",1578,Merrick,,"in display",museum,,pilsp,,complete,some,,RCAHMW/1976,1.35,visible,0.52,actual,0.35,actual,Macalister/1945,6,6,visible,1,6.5,actual,1,3,actual,,0,,TRUE
KFNTN,1,"first mentioned",1887,"S. Ferguson",,"in ground",earliest,,pillc,,complete,good,,Cuppage/etal/1986,1.5,actual,0.25,actual,0.09,actual,converted,4,11,actual,0,9.75,actual,0,3.5,actual,,1,,
KILEG,1,"first mentioned",1945,"R.A. S. Macalister",,"in ground",earliest,,pilsp,,incomplete,poor,,converted,1.91,actual,,actual,0.51,actual,Macalister/1945,6,3,actual,3,,actual,1,8,actual,,1,,
KILMA,1,"first mentioned",1907,"Srgt. Lyons",,"in display",museum,,pilsp,,complete,some,,converted,1.22,actual,0.51,actual,0.3,actual,Macalister/1945,4,0,actual,1,8,actual,1,0,inc,,,,
KILTH,1,"first mentioned",1875,"R.R. Brash",,"in ground",earliest,,pilsp,,complete,some,,converted,1.93,actual,0.43,actual,0.23,actual,Macalister/1945,6,4,actual,1,5,actual,0,9,actual,,0,,
KINET,1,"first mentioned",1849,"C. Graves",,"in ground","on site",,pillc,,complete,good,,converted,1.8,visible,0.53,actual,0.28,actual,Macalister/1945,5,11,visible,1,9,actual,0,11,actual,,1,,
KINET,2,"first mentioned",1849,"C. Graves",,"on ground","on site",,pilsp,,complete,some,,Cuppage/etal/1986,1.8,actual,0.52,actual,0.16,actual,converted,5,10.75,actual,1,8.5,actual,0,6.25,actual,,0,,
KIOLA,1,"non-arch dig",1827,inc,,unattch,other,,slbcr,,incomplete,some,,converted,0.52,actual,0.46,actual,,uncertain,Macalister/1949,1,8.5,actual,1,6,actual,,0,uncertain,,1,,
KLBEG,1,"first mentioned",1875,"Mr. Martin",,"in display",museum,,pilsp,,complete,some,,converted,1.17,actual,0.27,actual,0.14,actual,Macalister/1945,3,10,actual,0,10.5,actual,0,5.5,actual,,0,,
KLBON,1,"first mentioned",1871,"R.R. Brash",,"in display",other,,pilsp,,complete,good,,converted,1.91,actual,0.41,actual,0.18,actual,Brash/1871,6,3,actual,1,4,actual,0,7,actual,,0,,
KLCAS,1,recognised,1872,"Rev. T. Olden",,"in ground","on site",,pilsp,,incomplete,some,,converted,,n/a,,n/a,,n/a,Macalister/1945,,,n/a,,,n/a,,,n/a,,0,,
KLCOO,1,"first mentioned",1879,Wakeman,,inc,"on site",,slbns,,complete,inc,,converted,0.8,actual,0.37,actual,0.18,actual,Macalister/1949,2,7.5,actual,1,2.5,actual,0,7,actual,,1,,
KLCOO,2,"first mentioned",1879,Wakeman,,"in display",museum,,slbns,,incomplete,poor,,converted,0.41,actual,0.29,actual,0.14,actual,Macalister/1949,1,4,actual,0,11.5,actual,0,5.5,actual,,1,,
KLCOO,3,"first mentioned",1879,Wakeman,,lost,lost,,ind,,n/a,n/a,,n/a,-0.01,ind,-0.01,ind,-0.01,ind,n/a,,-0.01,ind,,-0.01,ind,,-0.01,ind,,1,,
KLCOO,4,"first mentioned",1869,"R.R. Brash",,"in ground","on site",,pilsp,,incomplete,some,,converted,1.07,actual,0.24,actual,0.18,actual,Macalister/1945,3,6,actual,0,9.5,actual,0,7,actual,,0,,
KLCOO,5,"first mentioned",1869,"R.R. Brash",,"in ground","on site",,pilsp,,incomplete,some,,converted,0.51,actual,0.11,actual,0.15,actual,Macalister/1945,1,8,actual,0,4.5,actual,0,6,actual,,0,,
KLCOO,6,"first mentioned",1869,"R.R. Brash",,"in ground","on site",,pilsp,,complete,good,,converted,1.1,actual,0.27,actual,0.1,actual,Macalister/1945,3,7.5,actual,0,10.5,actual,0,4,actual,,0,,
KLCOO,7,"first mentioned",1869,"R.R. Brash",,"in ground","on site",,pilsp,,incomplete,some,,converted,0.76,actual,0.14,actual,0.1,actual,Macalister/1945,2,6,actual,0,5.5,actual,0,4,actual,,0,,
KLCOO,8,"first mentioned",1869,"R.R. Brash",,lost,lost,,ind,,frgmntry,poor,,converted,0.3,actual,0.1,actual,0.08,actual,Macalister/1945,1,0,actual,0,4,actual,0,3,actual,,0,,
